Title	Year	IMDB	RT Aud	RT Critics	Description
The Way Way Back	2013	7.4	84	84	Despite its familiar themes, The Way Way Back makes use of its talented cast, finely tuned script, and an abundance of charm to deliver a funny and satisfying coming-of-age story.
Copenhagen	2014	7.3	82	92	No consensus yet.
Dope	2015	7.1	86	87	Featuring a starmaking performance from Shameik Moore and a refreshingly original point of view from writer-director Rick Famuyiwa, Dope is smart, insightful entertainment.
Fury	2014	7.7	84	76	Overall, Fury is a well-acted, suitably raw depiction of the horrors of war that offers visceral battle scenes but doesn't quite live up to its larger ambitions.
No No: A Dockumentary	2014	7.4	89	100	While taking full advantage of its subject's colorful baseball career, No No: A Dockumentary also imparts broader, thought-provoking messages that should resonate with viewers who aren't sports fans.
Aftermath	2013	7.3	81	82	It represents an occasionally uneven collision of genres, but all in all, Wladyslaw Pasikowski's Aftermath delves into Holocaust guilt with power and efficiency.
Road	2014	7.8	90	80	No consensus yet.
Saving Mr. Banks	2013	7.6	84	79	Aggressively likable and sentimental to a fault, Saving Mr. Banks pays tribute to the Disney legacy with excellent performances and sweet, high-spirited charm.
The Trials Of Muhammad Ali	2013	7.1	86	89	Director Bill Siegel doesn't explore any new boundaries of the documentary with The Trials of Muhammad Ali, but his subject is so inherently fascinating that the movie proves gripping in spite of its familiar beats.
Utopia	2013	7.6	89	100	No consensus yet.
The Case Against 8	2014	7.1	88	91	Expansive in scope yet steady in focus, The Case Against 8 offers impassioned social advocacy as well as gripping viewing.
The Pervert's Guide To Ideology	2013	7.6	77	90	No consensus yet.
A Most Violent Year	2015	7.1	69	90	Gritty, gripping, and weighted with thought-provoking heft, A Most Violent Year represents another strong entry in writer-director J.C. Chandor's impressive filmography.
Black Souls	2015	7.1	72	97	No consensus yet.
Is the Man Who Is Tall Happy?: An Animated Conversation with Noam Chomsky	2013	7.6	67	91	No consensus yet.
E-Team	2014	7.1	75	87	No consensus yet.
Enough Said	2013	7.1	75	95	Wryly charming, impeccably acted, and ultimately quite bittersweet, Enough Said is a grown-up movie in the best possible way.
Foxcatcher	2014	7.1	66	88	A chilling true crime drama, Foxcatcher offers Steve Carell, Mark Ruffalo, and Channing Tatum a chance to shine -- and all three of them rise to the challenge.
Man from Reno	2015	7.2	87	93	Man from Reno rises on the strength of solid performances and a sharp script, adding up to a densely plotted neo-noir with some subtle twists.
The Farewell Party	2015	7.6	81	92	No consensus yet.
Springsteen And I	2013	7.4	79	88	No consensus yet.
The Kill Team	2014	7.2	74	90	Urgent, mesmerizing, and infuriating, The Kill Team looks at American foreign policy from a rarely considered perspective.
A Touch of Sin	2013	7.2	74	93	Its screenplay isn't as graceful as the choreography of its action sequences, but A Touch of Sin offers enough stylishly satisfying violence to muscle past its rough spots.
Nas: Time Is Illmatic	2014	7.1	82	100	Comprehensive yet brisk, Nas: Time Is Illmatic offers an absorbing look at a hip-hop classic and the life of the artist who made it.
Wild	2014	7.2	76	89	Powerfully moving and emotionally resonant, Wild finds director Jean-Marc Vall e and star Reese Witherspoon working at the peak of their respective powers.
42	2013	7.5	86	78	42 is an earnest, inspirational, and respectfully told biography of an influential American sports icon, though it might be a little too safe and old-fashioned for some.
Bears	2014	7.4	78	89	Sweet, beautifully filmed, and admirably short on sugarcoating, Bears continues Disneynature's winning streak.
Doin' It in the Park: Pick-Up Basketball, NYC	2013	7.4	71	75	No consensus yet.
Happy People: A Year in the Taiga	2013	7.7	75	87	Filled with breathtaking images of the foreboding Siberian countryside, Happy People: A Year in the Taiga is a fascinating look at an isolated society.
